"","Class_Name","Sub_Class_Name","Date","NetSales"
"1","Cereals","Boiled Rice","01.08.2014",69897.231
"2","Cereals","Boiled Rice","01.09.2014",98679.4361
"3","Cereals","Boiled Rice","01.10.2014",84924.519
"4","Cereals","Boiled Rice","01.11.2014",104534.786
"5","Cereals","Boiled Rice","02.08.2014",126747.2843
"6","Cereals","Boiled Rice","02.09.2014",91373.9182
"7","Cereals","Boiled Rice","02.10.2014",104371.775
"8","Cereals","Boiled Rice","02.11.2014",149913.0017
"9","Cereals","Boiled Rice","03.08.2014",156980.1941
"10","Cereals","Boiled Rice","03.09.2014",85905.452
"11","Cereals","Boiled Rice","03.10.2014",79624.1099
"12","Cereals","Boiled Rice","03.11.2014",78272.244
"13","Cereals","Boiled Rice","04.08.2014",93307.9956
"14","Cereals","Boiled Rice","04.09.2014",86912.994
"15","Cereals","Boiled Rice","04.10.2014",94014.6902
"16","Cereals","Boiled Rice","04.11.2014",96637.9679
"17","Cereals","Boiled Rice","05.08.2014",74100.248
"18","Cereals","Boiled Rice","05.09.2014",63244.763
"19","Cereals","Boiled Rice","05.10.2014",121193.613
"20","Cereals","Boiled Rice","05.11.2014",83932.1581
"21","Cereals","Boiled Rice","06.08.2014",64661.7025
"22","Cereals","Boiled Rice","06.09.2014",124543.8703
"23","Cereals","Boiled Rice","06.10.2014",91404.12
"24","Cereals","Boiled Rice","06.11.2014",71605.0229
"25","Cereals","Boiled Rice","07.08.2014",66482.025
"26","Cereals","Boiled Rice","07.09.2014",116093.9653
"27","Cereals","Boiled Rice","07.10.2014",67475.0269
"28","Cereals","Boiled Rice","07.11.2014",61107.0491
"29","Cereals","Boiled Rice","08.08.2014",41360.4801
"30","Cereals","Boiled Rice","08.09.2014",72663.631
"31","Cereals","Boiled Rice","08.10.2014",76715.208
"32","Cereals","Boiled Rice","08.11.2014",106169.8545
"33","Cereals","Boiled Rice","09.08.2014",103738.2025
"34","Cereals","Boiled Rice","09.09.2014",76070.62
"35","Cereals","Boiled Rice","09.10.2014",81017.3388
"36","Cereals","Boiled Rice","09.11.2014",120131.9391
"37","Cereals","Boiled Rice","10.08.2014",104893.9284
"38","Cereals","Boiled Rice","10.09.2014",61754.6332
"39","Cereals","Boiled Rice","10.10.2014",64068.985
"40","Cereals","Boiled Rice","10.11.2014",56566.099
"41","Cereals","Boiled Rice","11.08.2014",63282.3639
"42","Cereals","Boiled Rice","11.09.2014",58469.0391
"43","Cereals","Boiled Rice","11.10.2014",102369.9518
"44","Cereals","Boiled Rice","11.11.2014",65231.2824
"45","Cereals","Boiled Rice","12.08.2014",63097.98
"46","Cereals","Boiled Rice","12.09.2014",51945.9574
"47","Cereals","Boiled Rice","12.10.2014",129610.8711
"48","Cereals","Boiled Rice","12.11.2014",43833.478
"49","Cereals","Boiled Rice","13.08.2014",55428.128
"50","Cereals","Boiled Rice","13.09.2014",81519.9574
"51","Cereals","Boiled Rice","13.10.2014",64856.2983
"52","Cereals","Boiled Rice","13.11.2014",64589.235
"53","Cereals","Boiled Rice","14.08.2014",53434.3133
"54","Cereals","Boiled Rice","14.09.2014",108177.4201
"55","Cereals","Boiled Rice","14.10.2014",69794.034
"56","Cereals","Boiled Rice","14.11.2014",52991.3443
"57","Cereals","Boiled Rice","15.08.2014",72418.75
"58","Cereals","Boiled Rice","15.09.2014",53733.9368
"59","Cereals","Boiled Rice","15.10.2014",69535.276
"60","Cereals","Boiled Rice","15.11.2014",74977.537
"61","Cereals","Boiled Rice","16.08.2014",87333.7634
"62","Cereals","Boiled Rice","16.09.2014",59140.44
"63","Cereals","Boiled Rice","16.10.2014",68814.0854
"64","Cereals","Boiled Rice","16.11.2014",103427.5694
"65","Cereals","Boiled Rice","17.08.2014",86874.086
"66","Cereals","Boiled Rice","17.09.2014",52332.554
"67","Cereals","Boiled Rice","17.10.2014",44220.082
"68","Cereals","Boiled Rice","17.11.2014",67013.676
"69","Cereals","Boiled Rice","18.08.2014",55107.3609
"70","Cereals","Boiled Rice","18.09.2014",49996.9584
"71","Cereals","Boiled Rice","18.10.2014",87848.6745
"72","Cereals","Boiled Rice","18.11.2014",53675.304
"73","Cereals","Boiled Rice","19.08.2014",57605.978
"74","Cereals","Boiled Rice","19.09.2014",47112.5193
"75","Cereals","Boiled Rice","19.10.2014",114458.2603
"76","Cereals","Boiled Rice","20.08.2014",61509.597
"77","Cereals","Boiled Rice","20.09.2014",82209.9284
"78","Cereals","Boiled Rice","20.10.2014",74049.3519
"79","Cereals","Boiled Rice","21.08.2014",45588.4
"80","Cereals","Boiled Rice","21.09.2014",100677.8804
"81","Cereals","Boiled Rice","21.10.2014",73151.4523
"82","Cereals","Boiled Rice","22.08.2014",56454.185
"83","Cereals","Boiled Rice","22.09.2014",60755.0699
"84","Cereals","Boiled Rice","22.10.2014",36941.581
"85","Cereals","Boiled Rice","23.08.2014",69073.069
"86","Cereals","Boiled Rice","23.09.2014",39946.9701
"87","Cereals","Boiled Rice","23.10.2014",52797.2098
"88","Cereals","Boiled Rice","24.08.2014",95182.3421
"89","Cereals","Boiled Rice","24.09.2014",50448.1091
"90","Cereals","Boiled Rice","24.10.2014",59207.1715
"91","Cereals","Boiled Rice","25.08.2014",50229.483
"92","Cereals","Boiled Rice","25.09.2014",49236.652
"93","Cereals","Boiled Rice","25.10.2014",76525.7534
"94","Cereals","Boiled Rice","26.08.2014",47231.155
"95","Cereals","Boiled Rice","26.09.2014",53200.53
"96","Cereals","Boiled Rice","26.10.2014",87880.4729
"97","Cereals","Boiled Rice","27.08.2014",53200.5834
"98","Cereals","Boiled Rice","27.09.2014",39773.3258
"99","Cereals","Boiled Rice","27.10.2014",55788.154
"100","Cereals","Boiled Rice","28.08.2014",62971.8788
"101","Cereals","Boiled Rice","28.09.2014",108395.541
"102","Cereals","Boiled Rice","28.10.2014",54873.119
"103","Cereals","Boiled Rice","29.08.2014",53618.169
"104","Cereals","Boiled Rice","29.09.2014",67647.5173
"105","Cereals","Boiled Rice","29.10.2014",54697.538
"106","Cereals","Boiled Rice","30.08.2014",87548.488
"107","Cereals","Boiled Rice","30.09.2014",79362.5176
"108","Cereals","Boiled Rice","30.10.2014",56111.4525
"109","Cereals","Boiled Rice","31.08.2014",116489.3084
"110","Cereals","Boiled Rice","31.10.2014",53540.113
"111","Cereals","Raw Rice","01.08.2014",78180.6599
"112","Cereals","Raw Rice","01.09.2014",112157.2815
"113","Cereals","Raw Rice","01.10.2014",104898.9336
"114","Cereals","Raw Rice","01.11.2014",104598.406
"115","Cereals","Raw Rice","02.08.2014",155813.4957
"116","Cereals","Raw Rice","02.09.2014",114588.749
"117","Cereals","Raw Rice","02.10.2014",105223.145
"118","Cereals","Raw Rice","02.11.2014",112218.326
"119","Cereals","Raw Rice","03.08.2014",158402.575
"120","Cereals","Raw Rice","03.09.2014",77897.0272
"121","Cereals","Raw Rice","03.10.2014",100962.168
"122","Cereals","Raw Rice","03.11.2014",80313.116
"123","Cereals","Raw Rice","04.08.2014",102126.563
"124","Cereals","Raw Rice","04.09.2014",85402.232
"125","Cereals","Raw Rice","04.10.2014",118087.061
"126","Cereals","Raw Rice","04.11.2014",73987.1375
"127","Cereals","Raw Rice","05.08.2014",94908.271
"128","Cereals","Raw Rice","05.09.2014",82862.214
"129","Cereals","Raw Rice","05.10.2014",133122.5123
"130","Cereals","Raw Rice","05.11.2014",72462.745
"131","Cereals","Raw Rice","06.08.2014",72440.863
"132","Cereals","Raw Rice","06.09.2014",139672.7968
"133","Cereals","Raw Rice","06.10.2014",110507.808
"134","Cereals","Raw Rice","06.11.2014",65997.063
"135","Cereals","Raw Rice","07.08.2014",100747.46
"136","Cereals","Raw Rice","07.09.2014",140248.874
"137","Cereals","Raw Rice","07.10.2014",90903.029
"138","Cereals","Raw Rice","07.11.2014",51308.801
"139","Cereals","Raw Rice","08.08.2014",34411.7521
"140","Cereals","Raw Rice","08.09.2014",86454.541
"141","Cereals","Raw Rice","08.10.2014",74887.567
"142","Cereals","Raw Rice","08.11.2014",80315.032
"143","Cereals","Raw Rice","09.08.2014",147314.169
"144","Cereals","Raw Rice","09.09.2014",79577.017
"145","Cereals","Raw Rice","09.10.2014",96443.852
"146","Cereals","Raw Rice","09.11.2014",76361.502
"147","Cereals","Raw Rice","10.08.2014",123390.8639
"148","Cereals","Raw Rice","10.09.2014",73522.479
"149","Cereals","Raw Rice","10.10.2014",82948.955
"150","Cereals","Raw Rice","10.11.2014",52093.5531
"151","Cereals","Raw Rice","11.08.2014",79088.015
"152","Cereals","Raw Rice","11.09.2014",60371.687
"153","Cereals","Raw Rice","11.10.2014",99954.434
"154","Cereals","Raw Rice","11.11.2014",42954.6277
"155","Cereals","Raw Rice","12.08.2014",63974.449
"156","Cereals","Raw Rice","12.09.2014",59353.734
"157","Cereals","Raw Rice","12.10.2014",138723.3762
"158","Cereals","Raw Rice","12.11.2014",28726.848
"159","Cereals","Raw Rice","13.08.2014",73638.555
"160","Cereals","Raw Rice","13.09.2014",111792.387
"161","Cereals","Raw Rice","13.10.2014",66541.9463
"162","Cereals","Raw Rice","13.11.2014",41492.447
"163","Cereals","Raw Rice","14.08.2014",55955.46
"164","Cereals","Raw Rice","14.09.2014",112442.159
"165","Cereals","Raw Rice","14.10.2014",56476.2687
"166","Cereals","Raw Rice","14.11.2014",36897
"167","Cereals","Raw Rice","15.08.2014",78866.2067
"168","Cereals","Raw Rice","15.09.2014",55097.846
"169","Cereals","Raw Rice","15.10.2014",73487.664
"170","Cereals","Raw Rice","15.11.2014",60615.869
"171","Cereals","Raw Rice","16.08.2014",100165.8205
"172","Cereals","Raw Rice","16.09.2014",65364.127
"173","Cereals","Raw Rice","16.10.2014",73387.917
"174","Cereals","Raw Rice","16.11.2014",63355.472
"175","Cereals","Raw Rice","17.08.2014",95409.817
"176","Cereals","Raw Rice","17.09.2014",60503.6211
"177","Cereals","Raw Rice","17.10.2014",36527.213
"178","Cereals","Raw Rice","17.11.2014",35901.0353
"179","Cereals","Raw Rice","18.08.2014",58513.201
"180","Cereals","Raw Rice","18.09.2014",68916.639
"181","Cereals","Raw Rice","18.10.2014",81596.872
"182","Cereals","Raw Rice","18.11.2014",42014.9673
"183","Cereals","Raw Rice","19.08.2014",51274.417
"184","Cereals","Raw Rice","19.09.2014",68189.306
"185","Cereals","Raw Rice","19.10.2014",93136.876
"186","Cereals","Raw Rice","20.08.2014",43983.116
"187","Cereals","Raw Rice","20.09.2014",97729.6295
"188","Cereals","Raw Rice","20.10.2014",51772.744
"189","Cereals","Raw Rice","21.08.2014",62241.262
"190","Cereals","Raw Rice","21.09.2014",105355.3259
"191","Cereals","Raw Rice","21.10.2014",61711.3448
"192","Cereals","Raw Rice","22.08.2014",55348.209
"193","Cereals","Raw Rice","22.09.2014",72375.84
"194","Cereals","Raw Rice","22.10.2014",23468.75
"195","Cereals","Raw Rice","23.08.2014",82151.5643
"196","Cereals","Raw Rice","23.09.2014",57249.276
"197","Cereals","Raw Rice","23.10.2014",54429.2543
"198","Cereals","Raw Rice","24.08.2014",107685.4019
"199","Cereals","Raw Rice","24.09.2014",60726.333
"200","Cereals","Raw Rice","24.10.2014",48364.012
"201","Cereals","Raw Rice","25.08.2014",70187.774
"202","Cereals","Raw Rice","25.09.2014",58836.234
"203","Cereals","Raw Rice","25.10.2014",49321.146
"204","Cereals","Raw Rice","26.08.2014",86625.4649
"205","Cereals","Raw Rice","26.09.2014",61975.3581
"206","Cereals","Raw Rice","26.10.2014",76834.948
"207","Cereals","Raw Rice","27.08.2014",70454.141
"208","Cereals","Raw Rice","27.09.2014",47063.508
"209","Cereals","Raw Rice","27.10.2014",41899.4667
"210","Cereals","Raw Rice","28.08.2014",81828.3345
"211","Cereals","Raw Rice","28.09.2014",141787.091
"212","Cereals","Raw Rice","28.10.2014",43099.832
"213","Cereals","Raw Rice","29.08.2014",60453.7885
"214","Cereals","Raw Rice","29.09.2014",72754.987
"215","Cereals","Raw Rice","29.10.2014",36221.109
"216","Cereals","Raw Rice","30.08.2014",91352.202
"217","Cereals","Raw Rice","30.09.2014",75535.74
"218","Cereals","Raw Rice","30.10.2014",48137.3238
"219","Cereals","Raw Rice","31.08.2014",120188.9638
"220","Cereals","Raw Rice","31.10.2014",40221.295
"221","Cereals","Wheat","01.08.2014",2179
"222","Cereals","Wheat","01.09.2014",7008
"223","Cereals","Wheat","01.10.2014",3842
"224","Cereals","Wheat","01.11.2014",5650.9
"225","Cereals","Wheat","02.08.2014",7882
"226","Cereals","Wheat","02.09.2014",4445
"227","Cereals","Wheat","02.10.2014",4885.9
"228","Cereals","Wheat","02.11.2014",5457
"229","Cereals","Wheat","03.08.2014",7793
"230","Cereals","Wheat","03.09.2014",2718
"231","Cereals","Wheat","03.10.2014",3704
"232","Cereals","Wheat","03.11.2014",4559
"233","Cereals","Wheat","04.08.2014",4895
"234","Cereals","Wheat","04.09.2014",4080
"235","Cereals","Wheat","04.10.2014",6580
"236","Cereals","Wheat","04.11.2014",4334
"237","Cereals","Wheat","05.08.2014",3751
"238","Cereals","Wheat","05.09.2014",2448
"239","Cereals","Wheat","05.10.2014",4685
"240","Cereals","Wheat","05.11.2014",4111
"241","Cereals","Wheat","06.08.2014",4289
"242","Cereals","Wheat","06.09.2014",3868.6
"243","Cereals","Wheat","06.10.2014",3729
"244","Cereals","Wheat","06.11.2014",3994.5
"245","Cereals","Wheat","07.08.2014",2672
"246","Cereals","Wheat","07.09.2014",4179
"247","Cereals","Wheat","07.10.2014",1888
"248","Cereals","Wheat","07.11.2014",3997
"249","Cereals","Wheat","08.08.2014",1842
"250","Cereals","Wheat","08.09.2014",4445
"251","Cereals","Wheat","08.10.2014",5517.25
"252","Cereals","Wheat","08.11.2014",3818
"253","Cereals","Wheat","09.08.2014",6610.4
"254","Cereals","Wheat","09.09.2014",4739
"255","Cereals","Wheat","09.10.2014",4041
"256","Cereals","Wheat","09.11.2014",4559
"257","Cereals","Wheat","10.08.2014",2559
"258","Cereals","Wheat","10.09.2014",3840
"259","Cereals","Wheat","10.10.2014",2942
"260","Cereals","Wheat","10.11.2014",3526
"261","Cereals","Wheat","11.08.2014",2786
"262","Cereals","Wheat","11.09.2014",1820
"263","Cereals","Wheat","11.10.2014",3280
"264","Cereals","Wheat","11.11.2014",4918
"265","Cereals","Wheat","12.08.2014",2740
"266","Cereals","Wheat","12.09.2014",2517
"267","Cereals","Wheat","12.10.2014",5344
"268","Cereals","Wheat","12.11.2014",2470
"269","Cereals","Wheat","13.08.2014",4177
"270","Cereals","Wheat","13.09.2014",4583
"271","Cereals","Wheat","13.10.2014",2401.75
"272","Cereals","Wheat","13.11.2014",1280
"273","Cereals","Wheat","14.08.2014",2650
"274","Cereals","Wheat","14.09.2014",5683
"275","Cereals","Wheat","14.10.2014",2888
"276","Cereals","Wheat","14.11.2014",3278
"277","Cereals","Wheat","15.08.2014",4110
"278","Cereals","Wheat","15.09.2014",2381
"279","Cereals","Wheat","15.10.2014",3370
"280","Cereals","Wheat","15.11.2014",6194.75
"281","Cereals","Wheat","16.08.2014",4426
"282","Cereals","Wheat","16.09.2014",1662
"283","Cereals","Wheat","16.10.2014",2964
"284","Cereals","Wheat","16.11.2014",6220
"285","Cereals","Wheat","17.08.2014",3144
"286","Cereals","Wheat","17.09.2014",831
"287","Cereals","Wheat","17.10.2014",2224
"288","Cereals","Wheat","17.11.2014",3617
"289","Cereals","Wheat","18.08.2014",2874
"290","Cereals","Wheat","18.09.2014",1393
"291","Cereals","Wheat","18.10.2014",2879.6
"292","Cereals","Wheat","18.11.2014",3135
"293","Cereals","Wheat","19.08.2014",2515
"294","Cereals","Wheat","19.09.2014",2808
"295","Cereals","Wheat","19.10.2014",3234
"296","Cereals","Wheat","20.08.2014",2089
"297","Cereals","Wheat","20.09.2014",4065
"298","Cereals","Wheat","20.10.2014",2290
"299","Cereals","Wheat","21.08.2014",2649
"300","Cereals","Wheat","21.09.2014",4493
"301","Cereals","Wheat","21.10.2014",1932
"302","Cereals","Wheat","22.08.2014",2313
"303","Cereals","Wheat","22.09.2014",1977
"304","Cereals","Wheat","22.10.2014",225
"305","Cereals","Wheat","23.08.2014",3661
"306","Cereals","Wheat","23.09.2014",1977
"307","Cereals","Wheat","23.10.2014",2628
"308","Cereals","Wheat","24.08.2014",4505
"309","Cereals","Wheat","24.09.2014",3727
"310","Cereals","Wheat","24.10.2014",1055
"311","Cereals","Wheat","25.08.2014",3503
"312","Cereals","Wheat","25.09.2014",2314
"313","Cereals","Wheat","25.10.2014",3504
"314","Cereals","Wheat","26.08.2014",1685
"315","Cereals","Wheat","26.09.2014",3212
"316","Cereals","Wheat","26.10.2014",2292
"317","Cereals","Wheat","27.08.2014",2470
"318","Cereals","Wheat","27.09.2014",292
"319","Cereals","Wheat","27.10.2014",3952
"320","Cereals","Wheat","28.08.2014",2403
"321","Cereals","Wheat","28.09.2014",3458
"322","Cereals","Wheat","28.10.2014",4290
"323","Cereals","Wheat","29.08.2014",944
"324","Cereals","Wheat","29.09.2014",3301
"325","Cereals","Wheat","29.10.2014",3591.75
"326","Cereals","Wheat","30.08.2014",3997
"327","Cereals","Wheat","30.09.2014",5030
"328","Cereals","Wheat","30.10.2014",3009
"329","Cereals","Wheat","31.08.2014",4716
"330","Cereals","Wheat","31.10.2014",3706
"331","Flours","Besan (Chana Flour)","01.08.2014",1868.65
"332","Flours","Besan (Chana Flour)","01.09.2014",2190.4
"333","Flours","Besan (Chana Flour)","01.10.2014",3443.9
"334","Flours","Besan (Chana Flour)","01.11.2014",3814
"335","Flours","Besan (Chana Flour)","02.08.2014",4827.88
"336","Flours","Besan (Chana Flour)","02.09.2014",2661.3
"337","Flours","Besan (Chana Flour)","02.10.2014",3099.9
"338","Flours","Besan (Chana Flour)","02.11.2014",4862.3
"339","Flours","Besan (Chana Flour)","03.08.2014",4603.2
"340","Flours","Besan (Chana Flour)","03.09.2014",1854.8
"341","Flours","Besan (Chana Flour)","03.10.2014",2879.9
"342","Flours","Besan (Chana Flour)","03.11.2014",2988.65
"343","Flours","Besan (Chana Flour)","04.08.2014",1866
"344","Flours","Besan (Chana Flour)","04.09.2014",2309.68
"345","Flours","Besan (Chana Flour)","04.10.2014",3179.9
"346","Flours","Besan (Chana Flour)","04.11.2014",2850.9
"347","Flours","Besan (Chana Flour)","05.08.2014",3164
"348","Flours","Besan (Chana Flour)","05.09.2014",2148.08
"349","Flours","Besan (Chana Flour)","05.10.2014",3991.9
"350","Flours","Besan (Chana Flour)","05.11.2014",2029.8
"351","Flours","Besan (Chana Flour)","06.08.2014",2078
"352","Flours","Besan (Chana Flour)","06.09.2014",3728.72
"353","Flours","Besan (Chana Flour)","06.10.2014",2734.55
"354","Flours","Besan (Chana Flour)","06.11.2014",2295
"355","Flours","Besan (Chana Flour)","07.08.2014",2266.1
"356","Flours","Besan (Chana Flour)","07.09.2014",4049.65
"357","Flours","Besan (Chana Flour)","07.10.2014",1760
"358","Flours","Besan (Chana Flour)","07.11.2014",2280.75
"359","Flours","Besan (Chana Flour)","08.08.2014",994
"360","Flours","Besan (Chana Flour)","08.09.2014",1787.3
"361","Flours","Besan (Chana Flour)","08.10.2014",1462
"362","Flours","Besan (Chana Flour)","08.11.2014",3039.2
"363","Flours","Besan (Chana Flour)","09.08.2014",4012.44
"364","Flours","Besan (Chana Flour)","09.09.2014",2350
"365","Flours","Besan (Chana Flour)","09.10.2014",2076
"366","Flours","Besan (Chana Flour)","09.11.2014",3513.72
"367","Flours","Besan (Chana Flour)","10.08.2014",3427.67
"368","Flours","Besan (Chana Flour)","10.09.2014",1991.15
"369","Flours","Besan (Chana Flour)","10.10.2014",1592
"370","Flours","Besan (Chana Flour)","10.11.2014",1951
"371","Flours","Besan (Chana Flour)","11.08.2014",2133.5
